i,j,k,a,b,c,val
2,4,4,4,7,2,0.48586827175664465 + 2.2197801987717472e-32im
2,4,4,4,7,3,-0.4858682717566454 + 1.6669060909400964e-17im
2,4,4,4,7,4,-0.14589803375031493 + 3.239587126342761e-17im
3,1,1,1,1,1,0.9999999999999999 - 2.4651903288156597e-32im
3,1,1,1,2,1,-0.6180339887498938 - 1.3723111286221149e-16im
3,1,2,1,1,1,0.7861513777574238 + 5.3942214223906053e-17im
3,1,2,1,1,2,0.7861513777574238 + 0.0im
3,1,2,1,1,3,0.38196601125010404 + 1.6962698412563896e-16im
3,1,3,1,1,1,-0.7861513777574224 + 2.6971107111952897e-17im
3,1,3,1,1,2,-0.7861513777574233 - 2.6971107111953005e-17im
3,1,3,1,1,3,0.3819660112501043 - 1.7450832615830558e-32im
3,1,4,1,1,2,0.6180339887498952 + 0.0im
3,1,4,1,1,3,-0.6180339887498948 - 2.1203373015704894e-17im
3,1,4,1,1,4,-0.4858682717566448 - 1.0788442844781201e-16im
3,1,4,1,2,1,0.6180339887498952 + 0.0im
3,1,4,1,2,4,0.7861513777574228 + 0.0im
3,1,4,1,3,1,-0.48586827175664565 - 1.0788442844781208e-16im
3,1,4,1,3,2,-0.48586827175664565 + 1.0788442844781203e-16im
3,1,4,1,3,3,0.4858682717566451 + 1.2455348935721305e-16im
3,1,4,1,3,4,-0.2360679774997889 - 5.241762079939183e-17im
3,2,1,1,1,1,-0.9999999999999997 - 3.43077782155529e-17im
3,2,1,2,1,1,-0.9999999999999997 - 3.430777821555284e-17im
3,2,1,3,1,1,-0.4858682717566443 - 1.6669060909400566e-17im
3,2,2,1,1,1,1.0 + 2.465190328815661e-32im
3,2,2,1,2,2,1.0000000000000004 + 6.861555643110575e-17im
3,2,2,1,3,3,-0.9999999999999997 - 3.430777821555287e-17im
3,2,2,2,1,2,1.0 + 1.2325951644078301e-32im
3,2,2,2,2,1,0.6180339887498952 + 8.481349206281961e-17im
3,2,2,2,2,3,0.7861513777574228 + 5.394221422390598e-17im
3,2,2,2,3,1,-0.7861513777574232 - 8.091332133585902e-17im
3,2,2,2,3,3,0.6180339887498938 + 1.5843448587791682e-16im
3,2,2,3,1,3,0.9999999999999999 - 2.4651903288156597e-32im
3,2,2,3,2,1,0.7861513777574238 + 1.0788442844781208e-16im
3,2,2,3,2,3,-0.6180339887498938 - 1.7963785889362119e-16im
3,2,2,3,3,1,0.6180339887498941 - 7.362099381509694e-17im
3,2,2,3,3,2,-1.0 - 3.430777821555288e-17im
3,2,2,3,3,3,0.30028310600077707 + 7.697828984015588e-17im
3,2,3,1,1,1,1.0000000000000002 + 6.861555643110573e-17im
3,2,3,1,2,2,0.9999999999999999 - 1.23259516440783e-32im
3,2,3,1,3,3,-0.9999999999999997 - 3.43077782155529e-17im
3,2,3,2,1,2,0.6180339887498949 + 4.240674603140989e-17im
3,2,3,2,1,3,-0.7861513777574229 - 2.6971107111952987e-17im
3,2,3,2,2,1,1.0000000000000002 - 6.861555643110577e-17im
3,2,3,2,3,2,0.7861513777574235 + 5.394221422390601e-17im
3,2,3,2,3,3,0.618033988749894 - 1.1602773984650667e-16im
3,2,3,3,1,2,0.7861513777574234 + 5.394221422390607e-17im
3,2,3,3,1,3,0.6180339887498939 + 1.5843448587791642e-16im
3,2,3,3,2,3,-0.9999999999999996 + 3.430777821555287e-17im
3,2,3,3,3,1,0.9999999999999983 + 1.0487672113062514e-31im
3,2,3,3,3,2,-0.6180339887498941 + 9.482436683080229e-17im
3,2,3,3,3,3,0.3002831060007766 - 5.637419743505202e-17im
3,2,4,1,1,1,-0.9999999999999997 - 3.430777821555292e-17im
3,2,4,1,2,3,0.9999999999999999 - 3.69778549322349e-32im
3,2,4,1,3,2,1.0000000000000004 + 6.861555643110575e-17im
3,2,4,1,4,4,-0.9999999999999997 - 3.430777821555287e-17im
3,2,4,2,1,3,0.6180339887498949 + 4.2406746031409887e-17im
3,2,4,2,1,4,-0.7861513777574229 - 2.6971107111952977e-17im
3,2,4,2,2,2,-0.9999999999999997 + 3.43077782155529e-17im
3,2,4,2,3,1,0.6180339887498952 + 4.2406746031409807e-17im
3,2,4,2,3,3,-0.6180339887498947 - 6.361011904711468e-17im
3,2,4,2,3,4,-0.4858682717566448 + 7.45463066290101e-17im
